NAME,MSINI,A,PER,ECC,OM,MASS,RSTAR,DEPTH,BMV,V,VURL,VREF,J,H,KS
,mjupiter,au,day,,deg,mjupiter,rsun,,,,,,,,
Kepler-232 c,0,0.0990113,11.379349,,90,0,0.968,,,,,,14.179,13.799,13.77
Kepler-346 b,0,0.0682408,6.511127,,90,0,1.021,,,,,,13.968,13.611,13.58
Kepler-330 c,0,0.124035,15.955387,,90,0,0.722,,,,,,13.86,13.315,13.26
alpha Cen B b,0.00354639,0.0418506,3.2357,0,0,0.00354639,0.91,,0.88,1.33,,,-0.01,-0.49,-0.6
mu Ara b,1.74552,1.5273,643.25,0.128,22,1.74552,1.25035,,0.694,5.12,,,4.158,3.724,3.682
WASP-45 b,1.00188,0.0405459,3.1260876,0,90,1.00657,0.945,0.01495,1.33,12,,,10.753,10.365,10.294
HD 73526 c,2.4209,1.02831,377.8,0.14,13,2.4209,1.45542,,0.737,8.99,,,7.708,7.47,7.302
Kepler-382 c,0,0.103505,12.162701,,90,0,0.945,,,,,,13.403,12.953,12.89
Kepler-333 c,0,0.163234,24.08821,,90,0,0.534,,,,,,12.86,12.227,12.118
Kepler-17 b,2.47651,0.0267923,1.4857108,0,90,2.47943,1.05,0.0169799,0.82,13.78,,,12.99,12.67,12.58
14 Her b,5.21486,2.93362,1773.4,0.369,22.6,5.21486,0.912364,,0.877,6.61,,,5.158,4.802,4.714
HAT-P-33 b,0.762345,0.0499317,3.474474,0,0,0.763256,1.637,0.0111936,0.63,11.03,,,10.263,10.061,10.004
Kepler-166 c,0,0.206443,34.260281,,90,0,0.742,,,,,,13.346,12.941,12.88
OGLE-05-169L b,0,3.41991,3300,,,0.04,,,,20.4,,,,,
HIP 79431 b,2.11299,0.358346,111.7,0.29,287.4,2.11299,,,1.486,11.34,,,7.555,6.855,6.589
HD 171238 b,2.60901,2.54268,1523,0.4,47,2.60901,1.05059,,0.74,8.66,,,7.244,6.868,6.831
Kepler-272 c,0,0.0650321,6.057342,,90,0,0.929,,,,,,13.159,12.83,12.708
Kepler-157 c,0,0.111181,13.5405,,90,0,1.044,,,,,,12.94,12.627,12.57
HIP 5158 b,1.42633,0.887919,345.72,0.52,252,1.42633,0.986271,,1.08,10.16,,,,,
Kepler-308 c,0,0.121047,15.38231,,90,0,0.941,,,,,,14.61,14.15,14.19
WASP-46 b,2.08495,0.0244921,1.43037,0,90,2.10232,0.917,0.02155,0.1,12.9,,,11.753,11.465,11.401
Kepler-157 b,0,0.028229,1.732342,,90,0,1.044,,,,,,12.94,12.627,12.57
GJ 849 b,0.830886,2.35317,1882,0.04,355,0.830886,,,1.52,10.42,,,6.509,5.899,5.594
Kepler-52 d,0,0.215129,36.445171,,90,0,0.556,,,,,,13.153,12.51,12.36
Kepler-197 c,0,0.0929448,10.349695,,90,0,1.12,,,,,,10.814,10.577,10.535
Kepler-163 b,0,0.0770446,7.810937,,90,0,0.917,,,,,,13.194,12.85,12.784
Kepler-121 c,0,0.23273,41.008011,,90,0,0.701,,,,,,13.32,12.886,12.796
Kepler-191 b,0,0.0904732,9.939632,,90,0,0.789,,,,,,13.42,12.96,12.88
Kepler-123 b,0,0.130568,17.232366,,90,0,1.264,,,,,,12.982,12.725,12.655
Kepler-320 b,0,0.0806883,8.371554,,90,0,1.108,,,,,,12.546,12.283,12.31
HAT-P-1 b,0.531143,0.0553326,4.4652934,0,90,0.532369,1.135,0.0126338,0.6,10.33,,,9.156,8.923,8.858
Kepler-186 f,0,0.392576,129.9459,0.01,270,0,0.472,,,,,,12.473,11.82,11.605
Kepler-201 b,0,0.170313,25.672083,,90,0,1.229,,,,,,12.037,11.784,11.737
OGLE2-TR-L9 b,4.50213,0.0413279,2.4855335,0,90,4.57442,1.53,0.0117657,,,,,13.51,13.25,13.117
Kepler-54 b,0,0.0626016,8.0109434,,,0,0.5,,,,,,13.508,12.897,12.648
Kepler-355 c,0,0.170712,25.762294,,90,0,1.066,,,,,,14.007,13.592,13.673
Kepler-375 c,0,0.144132,19.986326,,90,0,0.837,,,,,,14.54,14.09,14.08
Kepler-137 b,0,0.0811044,8.436387,,90,0,0.802,,,,,,11.65,11.229,11.165
Kepler-85 d,0,0.133985,17.91323,,90,0,0.893,,,,,,13.552,13.192,13.083
Kepler-224 c,0,0.0640814,5.925003,,90,0,0.676,,,,,,14.212,13.722,13.7
WASP-22 b,0.559004,0.0468682,3.53269,0.023,27,0.559059,1.13,0.0104,0.39,12,,,10.634,10.392,10.318
WASP-2 b,0.904818,0.0312729,2.1522254,0,90,0.908659,0.84,0.01802,1.02,11.88,,,10.166,9.752,9.632
Kepler-392 b,0,0.0598046,5.341853,,90,0,1.129,,,,,,12.414,12.151,12.121
Kepler-247 c,0,0.087412,9.439452,,90,0,0.768,,,,,,13.597,13.178,13.051
HD 164922 b,0.357927,2.10091,1155,0.05,195,0.357927,0.899472,,0.799,7.01,,,5.552,5.203,5.113
Kepler-271 b,0,0.0588746,5.217738,,90,0,0.88,,,,,,12.198,11.819,11.745
Kepler-30 c,0,0.300013,60.3231,0.0111,311,2.01385,0.95,0.0162,,,,,14,13.62,13.58
Kepler-190 c,0,0.0473476,3.763024,,90,0,0.795,,,,,,12.728,12.279,12.231
tau Gru b,1.2147,2.51797,1311,0.07,100,1.2147,1.54911,,0.621,6.03,,,5.008,4.687,4.612
WASP-34 b,0.581308,0.0520747,4.3176782,0.038,319.8,0.583354,0.93,0.01261,0.77,10.28,,,9.172,8.842,8.792
Kepler-397 c,0,0.516293,135.498527,,90,0,0.767,,,,,,14.587,14.123,13.9
HD 96063 b,1.14167,1.11312,361.1,0,90,1.14167,3.66196,,0.86,8.37,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,6.607,6.151,6.05
HAT-P-22 b,2.14822,0.0414094,3.21222,0.016,156,2.15137,1.04,0.0113422,0.86,9.732,,,8.293,7.935,7.837
Kepler-221 b,0,0.0388408,2.795906,,90,0,0.821,,,,,,12.413,11.995,11.9
CoRoT-7 b,0.0155646,0.0171897,0.853585,0,90,0.0157999,0.87,0.0003497,0.856,11.668,,,10.31,9.88,9.806
HD 5608 b,1.47372,1.98519,792.6,0.19,269,1.47372,5.5,,0.991,5.999,,,4.478,3.88,3.826
Kepler-172 e,0,0.209877,35.118736,,90,0,1.085,,,,,,13.17,12.88,12.79
Kepler-178 b,0,0.0882572,9.576694,,90,0,1.066,,,,,,13.28,12.967,12.899
Kepler-147 c,0,0.203039,33.416423,,90,0,1.468,,,,,,12.786,12.475,12.416
HATS-1 b,1.85957,0.0444708,3.446459,0.12,123.417,1.86507,1.038,0.0165894,0.686999,12.05,,,10.924,10.634,10.58
Kepler-378 c,0,0.184331,28.906009,,90,0,0.671,,,,,,10.846,10.317,10.201
HD 80606 b,3.89024,0.447343,111.4367,0.934,300.6,3.89054,0.98,0.0111725,0.765,9.06,,,7.701,7.4,7.315
Kepler-158 b,0,0.127912,16.709184,,90,0,0.624,,,,,,12.722,12.138,12.057
Kepler-45 b,0.510798,0.0298817,2.455239,0.11,230,0.511499,0.55,0.03204,,16.88,,,13.749,13.077,12.89
Kepler-68 b,0.0187967,0.0617749,5.398763,0,90,0.026183,1.243,0.000289,0.65,10.08,,,9,8.7,8.6
Kepler-308 b,0,0.0889821,9.694928,,90,0,0.941,,,,,,14.61,14.15,14.19
WASP-78 b,0.877779,0.0361391,2.17517656,0,90,0.883997,2.2,0.0065,0.69,11.96,http://adsabs.harvard.edu/abs/2012A%26A...547A..61S,Smalley 2012,11.286,11.084,11.008
Kepler-108 c,0,0.647542,190.323494,,90,0,2.192,,,,,,11.43,11.065,10.983
HD 86264 b,6.62738,2.84117,1475,0.7,306,6.62738,1.49917,,0.46,7.42,,,6.504,6.344,6.224
Kepler-266 c,0,0.443078,107.723601,,90,0,1.028,,,,,,14.3,13.907,13.811
Kepler-239 c,0,0.287238,56.228098,,90,0,0.763,,,,,,13.703,13.215,13.13
HD 82943 c,1.58936,0.742283,219.3,0.425,133,1.58936,1.09738,,0.623,6.54,,,5.509,5.245,5.105
Kepler-205 c,0,0.145668,20.306546,,90,0,0.546,,,,,,11.608,10.962,10.833
Kepler-319 b,0,0.0522529,4.362705,,90,0,0.903,,,,,,12.631,12.315,12.208
Kepler-162 c,0,0.141525,19.446355,,90,0,0.958,,,,,,13.041,12.708,12.658
Kepler-126 c,0,0.153051,21.869741,,90,0,1.358,,,,,,9.616,9.407,9.344
Kepler-384 c,0,0.248874,45.348269,,90,0,0.882,,,,,,12.419,12.082,12.038
GJ 581 d,0.0191104,0.217717,66.64,0.25,356,0.0191104,0.299,,1.6,10.57,,,6.706,6.094,5.836
iota Hor b,2.04683,0.92376,302.8,0.14,346,2.04683,1.21047,,0.561,5.4,,,4.75,4.323,4.137
HD 37124 d,0.68665,2.80658,1862,0.16,0,0.68665,0.772275,,0.667,7.68,,,6.358,6.02,5.951
HD 192263 b,0.639382,0.152945,24.3556,0.055,200,0.639382,0.7401,,0.938,7.79,,,6.115,5.684,5.536
HD 204313 b,3.50088,3.07131,1920.1,0.23,298,3.50088,1.12584,,0.697,7.99,,,6.812,6.539,6.459
Kepler-212 c,0,0.196459,31.805174,,90,0,1.455,,,,,,11.931,11.699,11.62
Kepler-53 c,0,0.221868,38.5583038,,,0,0.89,,,,,,14.252,13.91,13.81
Kepler-321 b,0,0.0565776,4.915379,,90,0,1.194,,,,,,11.621,11.3,11.249
Kepler-402 d,0,0.0841819,8.921099,,90,0,1.264,,,,,,12.303,12.082,11.993
Kepler-339 d,0,0.0941898,10.558345,,90,0,0.802,,,,,,13.28,12.895,12.87
Kepler-407 b,0.000215199,0.0149747,0.66931,0,90,0.000215199,0.1,0.000108451,,,,,11.332,10.983,10.911
TrES-3 b,1.87299,0.0227178,1.30618581,0,90,1.91,0.812,0.0273903,0.712,12.402,,,11.015,10.655,10.608
Kepler-188 b,0,0.0317043,2.061897,,90,0,1.141,,,,,,13.536,13.197,13.144
HIP 14810 b,3.87441,0.0692271,6.673859,0.142483,159.48,3.87441,1.31998,,0.777,8.52,,,7.201,6.964,6.828
Kepler-10 c,0.05412,0.239651,45.29485,,90,0.054118,1.056,0.000375584,,,,,9.889,9.563,9.496
HD 90156 b,0.0565295,0.249855,49.77,0.31,113,0.0565295,0.920961,,0.66,6.92,,,5.685,5.382,5.245
Kepler-259 c,0,0.217013,36.924931,,90,0,0.898,,,,,,14.009,13.673,13.555
Kepler-304 d,0,0.0887283,9.653471,,90,0,0.687,,,,,,13.243,12.75,12.63
Kepler-150 e,0,0.192408,30.826557,,90,0,0.939,,,,,,13.817,13.422,13.37
Kepler-218 c,0,0.246495,44.699576,,90,0,1.063,,,,,,12.732,12.386,12.311
Pr 211 b,1.84394,0.0320419,2.1451,0,90,1.84394,0.868,,0.870001,12.15,,,10.66,10.242,10.173
Kepler-203 b,0,0.0421675,3.162697,,90,0,1.114,,,,,,12.859,12.47,12.445
Kepler-6 b,0.668332,0.0456089,3.234723,0,90,0.669376,1.391,0.00966092,,,,,12.001,11.706,11.634
Kepler-244 d,0,0.14444,20.050401,,90,0,0.803,,,,,,14.306,13.85,13.73
24 Sex c,1.51716,2.24032,910,0.412,172,1.51716,3.92062,,0.92,6.61,,,5.292,4.486,4.285
Kepler-358 b,0,0.20564,34.060467,,90,0,0.954,,,,,,14.106,13.789,13.652
Kepler-373 c,0,0.127997,16.725948,,90,0,0.845,,,,,,13.28,12.9,12.86
HD 60532 c,2.46312,1.57999,604,0.02,151,2.46312,2.35065,,0.52,4.45,,,3.702,3.318,3.354
Kepler-299 b,0,0.0400468,2.927128,,90,0,1.032,,,,,,13.875,13.51,13.44
Kepler-140 c,0,0.396968,91.353282,,90,0,1.288,,,,,,11.989,11.759,11.709
Kepler-23 d,0,0.12048,15.274299,,90,0,1.548,,,,,,12.353,12.047,11.998
HD 68988 b,1.79992,0.0692771,6.27711,0.1249,31.4,1.79992,1.10962,,0.652,8.2,,,7.059,6.812,6.743
Kepler-84 b,0,0.08295,8.726,,,0,1.43,,,,,,13.583,13.234,13.193
HAT-P-26 b,0.0586313,0.0478684,4.234516,0.124,54,0.0586489,0.788,0.00543169,0.89,11.744,,,10.08,9.685,9.581
Kepler-292 f,0,0.148181,20.834237,,90,0,0.826,,,,,,14.537,14.08,13.97
Kepler-20 e,0,0.063351,6.098493,0,,0,0.944,0.0000707281,0.9,12.51,,,11.252,10.91,10.871
Kepler-296 d,0,0.143477,19.850242,,90,0,0.557,,,,,,13.391,12.81,12.6
HD 149143 b,1.32811,0.0530508,4.072,0.016,0,1.32811,1.71219,,0.714,7.89,,,6.759,6.535,6.434
Kepler-62 d,0,0.119499,18.16406,0.0948683,108.435,0,0.64,0.00092,0.599999,13.8,,,12.256,11.739,11.659
HD 79498 b,1.34632,3.13296,1966.1,0.59,221,1.34632,1.12815,,0.706,8.02,,,6.851,6.574,6.53
Kepler-298 d,0,0.355666,77.473633,,90,0,0.582,,,,,,13.718,13.139,13.07
Kepler-269 b,0,0.0596916,5.326718,,90,0,0.959,,,,,,14.438,14.14,13.961
Kepler-248 b,0,0.0668155,6.308205,,90,0,0.831,,,,,,13.911,13.442,13.36
HD 181433 c,0.640416,1.75604,962,0.28,21.4,0.640416,1.00831,,1.01,8.38,,,6.664,6.243,6.094
70 Vir b,7.46144,0.483601,116.6884,0.4007,358.71,7.46144,1.59775,,0.714,4.97,,,3.798,3.456,3.24
HD 102365 b,0.0509774,0.463328,122.1,0.34,105,0.0509774,0.828702,,0.68,4.89,,,3.931,3.49,3.489
BD -08 2823 b,0.045941,0.0558236,5.6,0.15,30,0.045941,1.27853,,1.071,9.9889,,,7.96,7.498,7.323
Kepler-160 b,0,0.0518266,4.309427,,90,0,0.884,,,,,,13.46,13.101,13.052
CoRoT-11 b,2.33146,0.0440549,2.99433,0,90,2.34813,1.37,0.011449,0.93,12.8,,,11.589,11.416,11.248
Kepler-369 c,0,0.118353,14.871572,,90,0,0.471,,,,,,13.247,12.594,12.395
Kepler-142 d,0,0.235751,41.809118,,90,0,1.269,,,,,,12.092,11.801,11.762
Kepler-398 b,0,0.0499821,4.081423,,90,0,0.613,,,,,,11.514,10.932,10.794
Kepler-299 d,0,0.119323,15.054786,,90,0,1.032,,,,,,13.875,13.51,13.44
GJ 436 b,0.0725512,0.0287188,2.64385,0.16,351,0.0726979,0.464,0.006956,1.52,10.68,,,6.9,6.319,6.073
Kepler-142 c,0,0.0553921,4.761702,,90,0,1.269,,,,,,12.092,11.801,11.762
Kepler-181 c,0,0.0517683,4.302149,,90,0,0.749,,,,,,13.364,12.948,12.88
Kepler-364 b,0,0.170638,25.745718,,90,0,1.284,,,,,,12.676,12.419,12.388
Kepler-173 c,0,0.0783205,8.005777,,90,0,0.949,,,,,,13.081,12.76,12.67
Kepler-290 b,0,0.11685,14.589347,,90,0,0.743,,,,,,14.054,13.58,13.45
WASP-37 b,1.79324,0.0446312,3.577469,0,90,1.79362,1.003,0.01427,0.6,12.704,,,11.499,11.181,11.093
Kepler-223 c,0,0.0899174,9.848183,,90,0,1.017,,,,,,14.1,13.73,13.63
HD 6718 b,1.5591,3.55427,2496,0.1,286,1.5591,0.956629,,0.662,8.45,,,7.269,6.99,6.876
Kepler-224 e,0,0.137602,18.643577,,90,0,0.676,,,,,,14.212,13.722,13.7
Kepler-322 c,0,0.0520493,4.337234,,90,0,0.89,,,,,,12.246,11.867,11.837
HD 33636 b,9.26951,3.26519,2127.7,0.4805,339.5,9.26951,1.03374,,0.588,7,,,5.931,5.633,5.572
Kepler-163 c,0,0.150603,21.347262,,90,0,0.917,,,,,,13.194,12.85,12.784
HAT-P-40 b,0.619927,0.060845,4.457243,0,90,0.6202,2.206,0.00651249,0.84999,11.34,,,10.367,10.085,10.009
HD 240237 b,5.31949,1.91887,745.7,0.4,108.1,5.31949,,,1.682,8.19,http://adsabs.harvard.edu/abs/2012ApJ...745...28G,Gettel 2012,5.703,4.983,4.769
Kepler-169 f,0,0.38452,87.090195,,90,0,0.763,,,,,,12.729,12.283,12.186
Kepler-283 b,0,0.0968462,11.008151,,90,0,0.566,,,,,,13.927,13.263,13.14
rho CrB b,1.06409,0.225692,39.8449,0.057,303,1.06409,1.10084,,0.612,5.39,,,4.088,3.988,3.857
Kepler-214 b,0,0.122502,15.660544,,90,0,1.352,,,,,,12.941,12.678,12.607
Kepler-314 b,0,0.0356743,2.461069,,90,0,0.95,,,,,,11.242,10.85,10.778
Kepler-188 c,0,0.0645963,5.996553,,90,0,1.141,,,,,,13.536,13.197,13.144
Kepler-233 b,0,0.0813349,8.472382,,90,0,0.758,,,,,,14.006,13.555,13.45
Kepler-118 b,0,0.0751093,7.518496,,90,0,1.094,,,,,,13.25,12.769,12.711
Kepler-110 b,0,0.106481,12.691112,,90,0,1.149,,,,,,11.919,11.658,11.623
HD 11977 b,7.40012,2.063,711,0.4,351.5,7.40012,8.14661,,0.931,4.695,,,3.161,2.694,2.589
HD 73534 b,1.06828,3.0184,1770,0.074,12,1.06828,2.90137,,0.962,8.23,,,6.524,6.072,5.961
Kepler-195 b,0,0.0802786,8.307872,,90,0,0.775,,,,,,13.53,13.05,12.959
Kepler-50 c,0,0.0932375,9.3761368,,,0,1.88,,0.48,10.54,,,9.518,9.25,9.197
HD 164604 b,2.6885,1.30299,606.4,0.24,51,2.6885,,,1.39,9.7,,,7.784,7.306,7.169
Kepler-359 b,0,0.169831,25.563222,,90,0,1.086,,,,,,14.736,14.43,14.487
Kepler-359 d,0,0.354508,77.095691,,90,0,1.086,,,,,,14.736,14.43,14.487
Kepler-115 b,0,0.0351175,2.403679,,90,0,1.205,,,,,,12.315,12.028,11.97
OGLE-05-071L b,,3.54863,3600,,,3.8,,,,,,,,,
OGLE235-MOA53 b,,,,,,2.6,,,,,,,,,
HD 37124 c,0.648109,1.70993,885.5,0.125,53,0.648109,0.772275,,0.667,7.68,,,6.358,6.02,5.951
HD 217107 c,2.61546,5.33414,4270,0.517222,198.598,2.61546,1.5,,0.744,6.17,,,4.948,4.764,4.535
HD 74156 b,1.77342,0.291535,51.638,0.63,174,1.77342,1.345,,0.585,7.61,,,6.559,6.275,6.208
Kepler-180 b,0,0.11269,13.817124,,90,0,1.063,,,,,,13.057,12.696,12.685
HD 103774 b,0.368054,0.070273,5.8881,0.09,318,0.368054,1.43364,,0.49,7.12,,,6.269,6.112,6
Kepler-43 b,3.21573,0.0449294,3.024095,0,90,3.23143,1.42,0.00753424,,,http://adsabs.harvard.edu/abs/2012A%26A...538A..96B,Bonomo 2012,12.86,12.6,12.55
Kepler-76 b,1.96,0.0271768,1.545,0,,1.96,1.12,,,,,,12.343,12.134,12.092
Kepler-310 b,0,0.113307,13.930698,,90,0,0.876,,,,,,13.056,12.69,12.626
Kepler-222 c,0,0.0913762,10.08881,,90,0,0.869,,,,,,13.717,13.341,13.23
KELT-6 b,0.431127,0.0794132,7.8457,0.22,80,0.43122,1.58,0.000602,0.49,10.336,,,9.302,9.137,9.083
WASP-13 b,0.472376,0.0537034,4.3530135,0,90,0.473883,1.574,0.00844,0.89,10.42,,,9.442,9.182,9.119
Kepler-84 c,0,0.107552,12.883,,,0.096,1.43,,,,,,13.583,13.234,13.193
HD 13931 b,1.88123,5.14931,4218,0.02,290,1.88123,1.22417,,0.64,7.61,,,6.451,6.233,6.139
Kepler-58 d,0,0.229287,40.101371,,90,0,1.127,,,,,,13.643,13.382,13.28
HAT-P-18 b,0.197162,0.0559503,5.508023,0.084,120,0.197205,0.749,0.0186322,,12.759,,,10.822,10.34,10.234
Kepler-357 b,0,0.0679912,6.475434,,90,0,0.834,,,,,,13.991,13.514,13.41
Kepler-406 c,0.00857506,0.0555527,4.62332,0,90,0.00857506,1.07,0.0000527221,,,,,11.34,11.035,10.97
HD 155358 c,0.807031,1.00082,391.9,0.16,180,0.807031,1.49875,,0.545,7.28,,,6.158,5.886,5.807
WASP-43 b,1.7613,0.0142363,0.813475,0,90,1.77609,0.598,0.0255,1,12.4,http://adsabs.harvard.edu/abs/2011A%26A...535L...7H,Hellier 2011,9.995,9.397,9.267
Kepler-159 c,0,0.242421,43.595792,,90,0,0.663,,,,,,13.104,12.53,12.357
Kepler-39 b,18.1767,0.155007,21.0874,0.121,98.9,18.1805,1.39,0.00802816,,,,,13.236,12.999,12.918
14 And b,4.68383,0.823151,185.84,0,0,4.68383,11.38,,1.029,5.22,,,3.019,2.608,2.33
Kepler-215 b,0,0.086925,9.360672,,90,0,1.027,,,,,,12.417,12.065,11.996
Kepler-294 b,0,0.0468277,3.701212,,90,0,0.976,,,,,,14.57,14.26,14.17
Kepler-29 b,0,0.0928723,10.3376,0,90,0,0.96,0.00117649,,,,,14.13,13.67,13.66
Kepler-24 b,0,0.0800144,8.14561,0,90,0,1.07,0.00005476,,,,,13.763,13.45,13.37
Kepler-306 b,0,0.0544926,4.646186,,90,0,0.719,,,,,,14.084,13.607,13.503
Kepler-83 b,0,0.0778725,9.77,,,0,0.61,,,,,,13.737,13.079,12.947
81 Cet b,4.31096,2.28088,952.7,0.206,175,4.31096,15.7275,,1.021,5.65,,,3.94,3.386,3.266
CoRoT-3 b,21.799,0.0573788,4.2568,0,90,21.8549,1.56,0.004395,0.907,13.292,,,11.936,11.71,11.618
Kepler-377 b,0,0.105463,12.509529,,90,0,1.224,,,,,,12.801,12.474,12.469
Kepler-126 d,0,0.422434,100.283134,,90,0,1.358,,,,,,9.616,9.407,9.344
HAT-P-38 b,0.267451,0.0522992,4.640382,0.067,240,0.267569,0.923,0.00842724,-0.357,12.557,,,10.989,10.593,10.501
Kepler-18 d,0.0515706,0.117171,14.85888,0.000521567,278.379,0.0516,1.108,0.00334315,,,,,12.19,11.873,11.756
Kepler-380 b,0,0.0487448,3.930821,,90,0,1.224,,,,,,12.614,12.35,12.289
Kepler-132 d,0,0.134468,18.010199,,90,0,1.178,,,,,,10.797,10.516,10.424
Kepler-228 b,0,0.0366865,2.566546,,90,0,1.014,,,,,,14.528,14.11,14.13
mu Ara e,0.543322,0.93961,310.54999,0.0666,189.6,0.543322,1.25035,,0.694,5.12,,,4.158,3.724,3.682
Kepler-97 b,0.0106941,0.036125,2.58664,0,90,0.0106941,0.98,0.000190523,,,,,11.744,11.408,11.345
Kepler-139 b,0,0.123078,15.771044,,90,0,1.3,,,,,,11.53,11.222,11.167
Kepler-375 b,0,0.103296,12.125934,,90,0,0.837,,,,,,14.54,14.09,14.08
HD 136118 b,11.6809,2.33328,1187.3,0.338,319.9,11.6809,1.75082,,0.553,6.93,,,5.934,5.693,5.599
Kepler-182 b,0,0.0897811,9.825792,,90,0,1.146,,,,,,13.836,13.57,13.52
HD 6434 b,0.397195,0.142061,21.997999,0.17,156,0.397195,0.80278,,0.613,7.72,,,6.576,6.272,6.187
HD 5319 b,1.6984,1.63515,674.59998,0.12,76.3,1.6984,4.9902,,0.985,8.05,http://adsabs.harvard.edu/abs/2007ApJ...670.1391R,Robinson 2007,6.348,5.864,5.699
Kepler-306 e,0,0.247015,44.840975,,90,0,0.719,,,,,,14.084,13.607,13.503
Kepler-253 b,0,0.0475233,3.783986,,90,0,0.786,,,,,,14.055,13.632,13.53
Kepler-259 b,0,0.0790333,8.115317,,90,0,0.898,,,,,,14.009,13.673,13.555
HD 231701 b,1.08667,0.555583,141.60001,0.1,46,1.08667,1.24116,,0.539,8.97,,,,,
PH-2 b,0,0.825444,282.5255,0.41,3.43775,0,1,0.009882,,,,,,,
CoRoT-18 b,3.48002,0.0295483,1.9000693,0.04,,3.48652,1,0.0179828,0.79,15,,,13.441,13.08,13.01
Kepler-203 d,0,0.0987232,11.32972,,90,0,1.114,,,,,,12.859,12.47,12.445
HD 75898 b,2.51504,1.18906,418.20001,0.1,263.7,2.51504,1.54576,,0.626,8.03,,,6.925,6.738,6.662
Kepler-224 b,0,0.0419025,3.132924,,90,0,0.676,,,,,,14.212,13.722,13.7
Kepler-205 b,0,0.038467,2.75564,,90,0,0.546,,,,,,11.608,10.962,10.833
MOA-2008-BLG-310L b,,,,,,0.23,,,,,,,,,
KIC 11442793 g,0,0.736177,210.60697,,,0,1.2,0.00378,,,,,12.79,12.531,12.482
GJ 1214 b,0.0203507,0.0143253,1.58040482,0,90,0.0203507,0.211,0.0134792,1.73,15.1,,,9.75,9.094,8.782
Kepler-268 c,0,0.373719,83.446393,,90,0,1.274,,,,,,12.675,12.411,12.382
Kepler-135 c,0,0.0994132,11.448708,,90,0,1.275,,,,,,11.722,11.508,11.456
Kepler-265 c,0,0.129538,17.028937,,90,0,1.103,,,,,,14.252,13.94,13.9
16 Cyg B b,1.63997,1.66027,798.5,0.681,85.8,1.63997,1.1176,,0.661,6.25,,,4.993,4.695,4.65
HAT-P-25 b,0.566683,0.0465813,3.652836,0.032,271,0.567181,0.959,0.0162562,0.97,13.15,,,11.319,10.908,10.815
Kepler-341 e,0,0.238241,42.473269,,90,0,1.024,,,,,,13.416,13.112,12.994
HD 213240 b,4.53249,1.88529,882.7,0.421,201,4.53249,1.3947,,0.603,6.81,,,5.708,5.482,5.354
Kepler-399 b,0,0.115973,14.425281,,90,0,0.68,,,,,,13.175,12.779,12.698
Kepler-341 c,0,0.0783507,8.01041,,90,0,1.024,,,,,,13.416,13.112,12.994
Kepler-265 d,0,0.240693,43.130617,,90,0,1.103,,,,,,14.252,13.94,13.9
Kepler-243 c,0,0.144324,20.026218,,90,0,0.842,,,,,,13.622,13.191,13.06
HD 12661 b,2.3408,0.838172,262.70861,0.376834,295.978,2.3408,1.06782,,0.71,7.43,,,6.182,5.895,5.86
Kepler-9 c,0.16858,0.22473,38.90861,0.132575,101.31,0.168671,1.1,0.00594,,13.9,,,12.71,12.391,12.337
HD 74156 c,8.24664,3.8997,2520,0.38,268,8.24664,1.345,,0.585,7.61,,,6.559,6.275,6.208
Kepler-165 c,0,0.120683,15.31299,,90,0,0.77,,,,,,13.43,12.926,12.843
Kepler-326 d,0,0.0700163,6.766888,,90,0,0.801,,,,,,12.229,11.783,11.673
HD 20794 c,0.00743617,0.203628,40.114,0,0,0.00743617,1.22683,,0.711,4.26,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,Pepe 2011,3.032,2.709,2.636
Kepler-31 c,0,0.254502,42.6318,0,90,0,1.22,0.0016,,,,,14.233,13.98,13.87
Kepler-82 b,0,0.16455,26.444,,,0,0.9,,,,,,13.879,13.527,13.518
Kepler-306 c,0,0.0732442,7.240193,,90,0,0.719,,,,,,14.084,13.607,13.503
Kepler-85 e,0,0.168293,25.216751,,90,0,0.893,,,,,,13.552,13.192,13.083
HD 38801 b,10.0105,1.6471,696.3,0,0,10.0105,2.24501,,0.85,8.26,,,6.8,6.372,6.279
HD 132563 B b,1.49247,2.62431,1544,0.22,158,1.49247,,,0.56,9.472,,,7.731,7.576,7.494
Kepler-390 c,0,0.108535,13.060022,,90,0,0.776,,,,,,12.584,12.194,12.075
Kepler-61 b,0,0.257458,59.87756,0,,0,0.62,,,,,,13.078,12.426,12.272
GJ 667 C c,0.0134408,0.125092,28.13,0.34,166,0.0134408,,,1.57,10.22,,,6.848,6.322,6.036
HD 207832 c,0.730294,2.1118,1155.7,0.27,121.6,0.730294,0.901,,0.69,8.79,,,7.587,7.297,7.207
Kepler-80 b,0,0.0645109,7.053,,,0,0.65,,,,,,12.954,12.354,12.253
Kepler-272 d,0,0.0964303,10.937304,,90,0,0.929,,,,,,13.159,12.83,12.708
Kepler-44 b,1.01508,0.0454854,3.24674,0,90,1.02109,1.52,0.00712336,,,,,13.34,12.969,12.89
HD 5891 b,5.22845,0.636168,177.11,0.066,351,5.22845,11.8348,,0.99,8.25,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,6.239,5.725,5.621
