NAME,MSINI,A,PER,ECC,OM,MASS,RSTAR,DEPTH,BMV,V,VURL,VREF,J,H,KS
,mjupiter,au,day,,deg,mjupiter,rsun,,,,,,,,
HD 197037 b,0.807324,2.07477,1035.7,0.22,298,0.807324,1.09866,,0.45,6.87,,,5.772,5.568,5.488
HD 70642 b,1.90944,3.18072,2068,0.034,205,1.90944,1.03139,,0.692,7.17,,,5.953,5.674,5.573
KELT-2 A b,1.52019,0.0549707,4.1137912,0,90,1.52064,1.828,0.00521,0.52,8.71,,,7.669,7.417,7.346
Kepler-10 b,0.0142142,0.0167573,0.837495,0,90,0.0142824,1.056,0.000151782,,,,,9.889,9.563,9.496
Kepler-208 e,0,0.125606,16.259458,,90,0,1.314,,,,,,12.547,12.309,12.21
Kepler-270 c,0,0.168498,25.262887,,90,0,1.461,,,,,,12.938,12.614,12.627
Kepler-225 c,0,0.138343,18.794234,,90,0,0.48,,,,,,14.032,13.341,13.25
Kepler-150 d,0,0.105752,12.56093,,90,0,0.939,,,,,,13.817,13.422,13.37
Kepler-405 b,0,0.0945195,10.613839,,90,0,0.893,,,,,,14.543,14.172,14.056
Kepler-208 b,0,0.0511769,4.22864,,90,0,1.314,,,,,,12.547,12.309,12.21
M 67 YBP 1194 b,0.346328,0.0715732,6.958,0.24,98.62,0.346328,1.01765,,0.626,14.6,,,,,
Kepler-325 d,0,0.223972,38.715185,,90,0,1.003,,,,,,13.81,13.4,13.35
Kepler-340 c,0,0.157474,22.824669,,90,0,1.85,,,,,,11.725,11.629,11.583
HD 40307 c,0.0211468,0.0800702,9.62,0,0,0.0211468,0.839223,,0.92,7.17,,,5.411,4.967,4.793
HD 142 b,1.3057,1.04292,350.3,0.26,303,1.3057,1.5121,,0.519,5.7,,,4.69,4.645,4.474
Kepler-257 b,0,0.0349126,2.382667,,90,0,1.037,,,,,,13.916,13.448,13.371
WASP-10 b,3.19034,0.0384536,3.0927616,0.0507142,153.283,3.19144,0.698,0.02525,,12.7,,,10.603,10.117,9.983
GJ 328 b,2.3,4.43476,4100,0.37,290,2.3,,,1.32,9.98,,,7.191,6.523,6.352
WASP-17 b,0.507667,0.0499354,3.735433,0,90,0.508547,1.2,0.01672,0.24,11.6,,,10.509,10.319,10.224
HAT-P-17 b,0.530106,0.0882385,10.338523,0.346,201,0.530158,0.837,0.015264,0.83,10.54,,,9.017,8.619,8.544
Kepler-162 b,0,0.0710671,6.919798,,90,0,0.958,,,,,,13.041,12.708,12.658
Kepler-293 c,0,0.280136,54.155743,,90,0,0.957,,,,,,14.098,13.781,13.66
HD 102329 b,4.47808,1.80892,778.1,0.211,178,4.47808,7.27206,,1.04,8.04,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,6.049,5.526,5.402
HD 159868 b,2.20004,2.29553,1178.4,0.01,350,2.20004,1.84825,,0.72,7.24,,,5.94,5.567,5.535
Kepler-262 c,0,0.152976,21.853722,,90,0,0.881,,,,,,13.118,12.759,12.732
WASP-75 b,1.06236,0.0375112,2.484193,0,90,1.07,1.26,0.0107,0.6,11.45,http://adsabs.harvard.edu/abs/2013arXiv1307.6532G,Gomez 2013,10.36,10.1,10.06
Kepler-222 b,0,0.0487958,3.936981,,90,0,0.869,,,,,,13.717,13.341,13.23
Kepler-334 b,0,0.0607596,5.470319,,90,0,1.068,,,,,,11.71,11.448,11.409
HD 114783 b,1.10505,1.15987,493.7,0.144,86,1.10505,0.837785,,0.93,7.56,,,6.025,5.623,5.474
GJ 581 e,0.00613456,0.028459,3.14945,0.32,236,0.00613456,0.299,,1.6,10.57,,,6.706,6.094,5.836
Kepler-327 c,0,0.0588339,5.212333,,90,0,0.492,,,,,,12.794,12.11,11.956
